目录,题目类型,大题题干,小题题型,小题题干,正确答案,答案解析,难易度,知识点,标签,选项数,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,选项I,选项J,选项K,选项L,选项M,选项N,选项O,选项P,选项Q,选项R,选项S,选项T,选项U,选项V,选项W,选项X,选项Y,选项Z
/第二章/2.3.2.1单链表的查找,单选题,"设单循环链表中结点的结构为(data, next),且head为指向链表表头的指针,current为链表当前指针,在循环链表中检测current是否达到链表表尾的语句是( )。",,,D,,易,单链表的查找,,4,current-&gt;next ==null,head-&gt;next==current,head==current,current-&gt;next==head,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.1单链表的查找,单选题,"线性表(a1,a2,…,an)以链式方式存储时，访问第i位置元素的时间复杂度为( )。",,,D,,易,单链表的查找,,4,O(1),O(i-1),O(i),O(n),,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.1单链表的查找,单选题,"线性表(a1,a2,…,an)以链式方式存储时，访问第i-1位置元素的时间复杂度为()。",,,D,,易,单链表的查找,,4,O(1),O(i-1),O(i),O(n),,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.1单链表的查找,单选题,从一个具有N个结点的单链表中查找其值等于X的结点时，在查找成功的情况下，需平均比较多少个结点?,,,D,,易,单链表的查找,,4,N/2,N,(N−1)/2,(N+1)/2,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.1单链表的查找,单选题,从一个具有N个结点的单链表中查找其值等于X的结点时，在查找不成功的情况下，需平均比较多少个结点?,,,B,,易,单链表的查找,,4,N/2,N,(N−1)/2,(N+1)/2,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.1单链表的查找,简答题,"链表求表长。
",,,A,,易,单链表的相关概念;单链表的查找,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.1单链表的查找,简答题,"链表求第k个元素。
",,,A,,易,单链表结构的实现;单链表的查找,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.1单链表的查找,简答题,给定单链表结构定义如下，单链表包含头结点。请设计一个一次遍历单链表的函数，函数可以返回单链表中倒数第k个结点的值，设单链表长度大于k。例如，单链表中存储的值依次为40，5，12，6，9，21，8，当k=3时，则返回9。,,,A,,中,,,1,"ElemType GetReverseK (LinkList L, int k)
{
int j=0;
LNode p, q;
p = L;
q = L-&gt;next;
if (k&lt;0) return ERROR;
while (j&lt;k){
if (q==NULL){
printf(""The location is not exist!"");
return ERROR;
}
q = q-&gt;next;
j++;
}
while (q){
q = q-&gt;next;
p = p-&gt;next;
}
return p-&gt;data;
}
",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.1单链表的查找,简答题,给定单链表结构定义如下，单链表包含头结点。请设计一个一次遍历单链表的函数，函数可以返回单链表中倒数第k个结点的值，设单链表长度大于k。例如，单链表中存储的值依次为20，15，32，26，69，41，18，当k=2时，则返回41。,,,A,,中,单链表的相关概念;单链表结构的实现;单链表的查找;单链表的插入;单链表的删除;头插法建立链表;尾插法建立链表;基于单链表的有序表的合并;单链表和顺序表比较;循环链表;双向链表;静态链表;一元多项式的表示;一元多项式相加的过程;一元多项式相加算法;约瑟夫环问题,,1,"ElemType GetReverseK (LinkList L, int k)
{
int j=0;
LNode p, q;
p = L;
q = L-&gt;next;
if (k&lt;0) return ERROR;
while (j&lt;k){
if (q==NULL){
printf(""The location is not exist!"");
return ERROR;
}
q = q-&gt;next;
j++;
}
while (q){
q = q-&gt;next;
p = p-&gt;next;
}
return p-&gt;data;
}
",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.1单链表的查找,简答题,给定单链表结构定义如下，单链表包含头结点。请设计一个一次遍历单链表的函数，函数可以返回单链表中倒数第k个结点的值，设单链表长度大于k。例如，单链表中存储的值依次为32，45，2，16，23，43，18，当k=4时，则返回16。,,,A,,中,单链表的相关概念;单链表结构的实现;单链表的查找;单链表的插入;单链表的删除;头插法建立链表;尾插法建立链表;基于单链表的有序表的合并;单链表和顺序表比较;循环链表;双向链表;静态链表,,1,"ElemType GetReverseK (LinkList L, int k)
{
int j=0;
LNode p, q;
p = L;
q = L-&gt;next;
if (k&lt;0) return ERROR;
while (j&lt;k){
if (q==NULL){
printf(""The location is not exist!"");
return ERROR;
}
q = q-&gt;next;
j++;
}
while (q){
q = q-&gt;next;
p = p-&gt;next;
}
return p-&gt;data;
}
",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.6基于单链表的有序表的合并,简答题,"已知两个非降序链表序列S1与S2，设计函数构造出S1与S2合并后的新的非降序链表S3。
输入格式: 
输入分两行，分别在每行给出由若干个正整数构成的非降序序列，用−1表示序列的结尾（−1不属于这个序列）。数字用空格间隔。
输出格式: 
在一行中输出合并后新的非降序链表，数字间用空格分开，结尾不能有多余空格；若新链表为空，输出NULL。
输入样例: 
1 3 5 -1
2 4 6 8 10 -1
输出样例: 
1 2 3 4 5 6 8 10
",,,A,,中,基于单链表的有序表的合并,,1,"答案输入： 
1 3 5 7 -1
2 4 6 8 10 -1
答案输出：
1 2 3 4 5 6 7 8 10

",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.6基于单链表的有序表的合并,简答题,"已知两个非降序链表序列S1与S2，设计函数构造出S1与S2的交集新链表S3。
输入格式:
输入分两行，分别在每行给出由若干个正整数构成的非降序序列，用−1表示序列的结尾（−1不属于这个序列）。数字用空格间隔。
输出格式: 
在一行中输出两个输入序列的交集序列，数字间用空格分开，结尾不能有多余空格；若新链表为空，输出NULL。
输入样例: 
1 2 5 -1
2 4 5 8 10 -1
输出样例: 
2 5
",,,A,,中,基于单链表的有序表的合并,,1,"
答案输入：
1 2 3 5 -1
2 3 4 5 8 10 -1
答案输出：
2 3 5
",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.6基于单链表的有序表的合并,简答题,将两个数据元素递增有序的单链表归并成一个按元素值递减有序的单链表，并要求辅助空间为O(1)。,,,A,,难,基于单链表的有序表的合并,,1,"void merge(Linklist &amp;A, Linklist &amp;B)
{
    pa=A-&gt;next, pb=B-&gt;next;
     A-&gt;next=NULL;                         //并入A表，头结点指针为空，方便后边头插法
     while(pa&amp;&amp;pb)
    {
 if(pa-&gt;data&lt;=pb-&gt;data)
 {
 r=pa-&gt;next;
 pa-&gt;next=A-&gt;next;
 A-&gt;next=pa;
 pa=r;
 }
 else
 {
 r=pb-&gt;next;
 pb-&gt;next=A-&gt;next;
 A-&gt;next=pb;
 pb=r;
 }
     } 
     if(pa)
 pb=pa;
     while(pb)                           //另一个结点剩余结点，继续尾插法插入，实现逆序
     {
 r=pb-&gt;next;
 pb-&gt;next=A-&gt;next;
 A-&gt;next=pb;
 pb=r;
     }
     free(B);
 }
 
",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.7单链表和顺序表比较,简答题,顺序表和单链表两种存储结构进行比对，给出优缺点的结论。,,,A,,易,单链表和顺序表比较,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.7单链表和顺序表比较,单选题,线性表L在()情况下适用于使用链式结构实现。,,,B,,易,单链表和顺序表比较,,4,需经常修改L中的结点值,需不断对L进行插入 ,L中含有大量的结点,L中结点结构复杂,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.7单链表和顺序表比较,单选题,线性表L在( )情况下适用于使用链式存储结构。,,,B,,易,单链表和顺序表比较,,4,需要经常修改L中的节点值。,需经常对L进行删除、插入。,L中含有大量节点。,L中节点结构复杂。,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.7单链表和顺序表比较,单选题,线性表L在(      )情况下适用于使用链式存储结构。,,,B,,易,单链表和顺序表比较,,4,需要经常修改L中的结点值。,需经常对L进行删除。,经常需要对线性表进行查询。,线性表中结点结构复杂。,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.7单链表和顺序表比较,简答题,为什么顺序表是随机存取结构，而链表是非随机存取结构？,,,A,,中,单链表和顺序表比较,,1,"顺序表的数据元素利用在存储空间中的物理位置来表示其逻辑相邻的关系，因此，只要确定了线性表的首地址和每个元素所占的空间大小，就可以计算任意元素的位置，就可以存取任意数据元素，因此，顺序表是一种随机存取结构。
在单链表中是通过指针来表示元素间的逻辑关系，逻辑上相邻的元素在物理位置上不一定相邻，要存取链表中的结点，必须从头指针开始顺链执行，所以链表是非随机存取结构。
",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.7单链表和顺序表比较,简答题,如何为线性表选取合适的存储结构？,,,A,,中,单链表和顺序表比较,,1,"（1）基于存储的考虑：链表的存储密度较低，但链表不用事先估计存储规模，可以根据实际需求开辟相应的空间存储；顺序表不需要开辟数据之外的存储空间，但当对线性表的长度或存储规模难以估计时，不宜采用顺序表。
（2）基于运算的考虑：经常做的运算是按序号访问数据元素，显然顺序表优于链表；而在顺序表中做插入、删除时平均移动表中一半的元素，当数据元素的信息量较大且表较长时，这一点是不应忽视的；在链表中作插入、删除，虽然也要找相应的位置，但主要是比较操作，从这个角度考虑显然后者优于前者。
（3）基于环境的考虑：顺序表容易实现，任何高级语言中都有数组类型，链表的操作是基于指针的，但并不是所有语言都具有指针变量，相对来讲前者简单些，也是用户考虑的一个因素。
总之，两种存储结构各有长短，选择那一种由实际问题中的主要因素决定。通常“较稳定”的线性表选择顺序存储，而频繁做插入删除的即动态性较强的线性表宜选择链式存储。
",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.7单链表和顺序表比较,填空题,当线性表的元素总数基本稳定，且很少进行插入和删除操作，但要求以最快的速度存取线性表中的元素时，应采用____存储结构。,,,,,易,单链表和顺序表比较,,1,顺序,,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.7单链表和顺序表比较,单选题,下面关于线性表的叙述中，错误的是( )。,,,B,,易,单链表和顺序表比较,,4,线性表采用顺序存储，必须占用一片连续的存储单元。,线性表采用顺序存储，便于进行插入和删除操作。,线性表采用链式存储，不必占用一片连续的存储单元。,线性表采用链式存储，便于插入和删除操作。 ,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.7单链表和顺序表比较,单选题,线性表L在( )情况下适用于使用链式结构实现。,,,B,,易,单链表和顺序表比较,,4,需经常修改L中的结点值,需不断对L进行插入、删除,L中含有大量的结点,L中结点结构复杂,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.3.1循环链表,判断题,"循环链表中查找前驱结点的时间复杂度是O(n)。
",,,A,,易,循环链表,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.3.1循环链表,单选题,循环链表的主要优点是( )。 ,,,D,,易,循环链表,,4,不再需要头指针,已知某个结点的位置后，能很容易找到它的直接前驱结点,在进行删除操作后，能保证链表不断开,从表中任一结点出发都能遍历整个链表,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.3.1循环链表,单选题,针对循环链表，以下说法正确的是()。,,,D,,易,循环链表,,4,不再需要头指针, 容易找到某结点的直接前驱结点,在进行删除操作后，能保证链表不断开,没有额外增加存储空间，就能使得单链表变为循环链表,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.3.1循环链表,简答题,在带头结点的循环链表中删除第i个元素。,,,A,,中,循环链表,,1,"Status  Del_LinkList(LinkList  head，int i，Elemtype &amp;e)

{  

p = head;                                               // head为循环链表的头指针

j = 0 ;                                                  //  j为计数器 

while ( p-&gt;next!=head &amp;&amp; j&lt;i-1 )                  // 寻找第i-1个结点 

{ 

p = p-&gt;next ;

++ j ;

}

if(j&lt;i-1)                                                                   //删除位置 i小于1 

return  FALSE ;

if (p-&gt;next==head)

return FALSE;                                    //第i个结点不存在 

else

{ 

s=p-&gt;next;                                                      //s指向第i个结点 

e= s-&gt;data;

p-&gt;next=s-&gt;next;                                            //从链表中删除 

free(s);                                                             //释放*s  

return OK;

}

",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.3.2双向链表,单选题,"p和q两个指针分别指向双向循环链表L两个元素,p所指元素是q所指元素的后继的条件是( )。",,,B,,易,双向链表,,4,p==q,q-&gt;next==p,p-&gt;next==q,q-&gt;next==p-&gt;next,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.3.2双向链表,单选题,某线性表中最常用的操作是在最后一个元素之后插入一个元素和删除第一个元素，则采用()存储方式最节省运算时间。,,,D,,易,单链表的相关概念;循环链表;双向链表,,4,单链表,仅有头指针的单循环链表,双链表,仅有尾指针的单循环链表,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.3.2双向链表,单选题,若某线性表最常用的操作是存取任一指定序号的元素和在最后进行插入和删除运算，则利用哪种存储方式最节省时间?,,,D,,易,顺序表的插入;单链表的相关概念;循环链表;双向链表,,4,双链表,单循环链表,带头结点的双循环链表,顺序表,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.3.2双向链表,单选题,在双向链表存储结构中，删除p所指结点的操作是( )。,,,A,,易,双向链表,,4,p-&gt;prior-&gt;next=p-&gt;next; p-&gt;next-&gt;prior=p-&gt;prior ,p-&gt;prior= p-&gt;prior-&gt;prior; p-&gt;prior-&gt;next=p,p-&gt;next-&gt;prior=p; p-&gt;next= p-&gt;next-&gt;next,p-&gt;next= p-&gt;prior-&gt;prior; p-&gt;prior= p-&gt;next-&gt;next ,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.1.2线性表的抽象数据类型定义,填空题,线性表中结点的集合是____的，结点间的关系是____的。,,,,,易,线性表的抽象数据类型定义,,2,有限;,一对一;一一对应;1:1,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.1.2线性表的抽象数据类型定义,判断题,线性表的抽象数据类型，与存储结构相关。,,,B,,易,线性表的抽象数据类型定义,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.1.2线性表的抽象数据类型定义,判断题,线性表的抽象数据类型，仅与逻辑结构相关。,,,A,,易,线性表的抽象数据类型定义,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.2单链表的插入,单选题,"设单链表中结点的结构为(data, next)。已知指针q所指点是指针p所指结点的直接前驱，若在q与p之间插入结点s，则应执行下列( )操作。",,,B,,易,单链表的插入,,4,s-&gt;next=p-&gt;next; p-&gt;next=s,q-&gt;next=s; s-&gt;next=p,p-&gt;next=s-&gt;next; s-&gt;next=p,p-&gt;next=s; s-&gt;next=q,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.2单链表的插入,单选题,"设单链表中结点的结构为(data, next)。已知元素ai的指针为p,其前驱结点指针q，若在q与p之间插入结点s，则应执行下列( )操作。",,,B,,易,单链表的插入,,4,s-&gt;next=p-&gt;next; p-&gt;next=s,q-&gt;next=s; s-&gt;next=p,p-&gt;next=s-&gt;next; s-&gt;next=p,p-&gt;next=s; s-&gt;next=q,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.2单链表的插入,单选题,"设单链表中结点的结构为(data, next)。已知p为指向ai结点的指针，q是该结点的直接前驱，若在ai结点前插入新结点s，则应执行下列()操作。",,,B,,易,单链表的插入,,4,s-&gt;next=p-&gt;next; p-&gt;next=s,q-&gt;next=s; s-&gt;next=p,p-&gt;next=s-&gt;next; s-&gt;next=p,p-&gt;next=s; s-&gt;next=q,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.2单链表的插入,简答题,将带头结点的单链表就地逆置，即要求在原链表上进行逆置，不允许重新构造新链表。,,,A,,难,单链表的插入,,1,"void LinkList_reverse(Linklist &amp;L)
{
    p=L-&gt;next; q=p-&gt;next;
    while (q)
    {
        r=q-&gt;next; 
        q-&gt;next=p; 
        p=q; q=r; 
    }
    L-&gt;next-&gt;next=NULL;      //修改第一个元素的指针值
    L-&gt;next=p;                //修改表头结点指针值
}
",,,,,,,,,,,,,,,,,,,,,,,,,
/第二章/2.3.2.2单链表的插入,简答题,在不额外申请新的链结点的前提下，将带头结点的非空单链表中数据域值最小的结点移到链表的最前面。,,,A,,难,单链表的插入;单链表的删除,,1,"void MinMove(LinkList &amp;L)
{
 p=L-&gt;next;  pre=L;  min=p;            //min为当前最小值指针，初值为第一个结点
 while(p-&gt;next!=NULL)
 {
 if(p-&gt;next-&gt;data&lt;min-&gt;data)
 { 
pre=p;
min =p-&gt;next; 
}
 p=p-&gt;next;
 }
 if(min!=L-&gt;next)                                  //最小值指针不是第一个结点
 {
 pre-&gt;next= min -&gt;next; 
 min -&gt;next=L-&gt;next; 
 L-&gt;next= min;                               
 }
}
",,,,,,,,,,,,,,,,,,,,,,,,,
